通用码,数据模式,最优方法,是否V6新增方法,最优区间(周),移动平均MASE,智能方法MASE,MASE提升(%),移动平均总量误差,智能方法总量误差,总量误差提升(%)
CJ4141240259,intermittent,median_5,否,14,0.1639,0.1639,0.0,1.0,1.0,0.0
CJ4141240260,intermittent,median_5,否,25,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141240261,intermittent,adida,是,13,2.459,0.7172,70.83,30.0,8.75,70.83
CJ4141240262,intermittent,median_5,否,13,0.9804,0.0,100.0,20.0,0.0,100.0
CJ4141240264,stable,naive_drift,是,17,1.3647,0.038,97.21,61.0,1.7,97.21
CJ4141240265,seasonal,theta,是,25,0.1493,0.0018,98.81,1.0,0.01,98.81
CJ4141240266,trending,optimized_ses,否,16,0.7143,0.4315,39.59,2.0,1.21,39.59
CJ4141240268,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141240271,seasonal,weighted_ma_5,是,13,0.5422,0.2008,62.96,9.0,3.33,62.96
CJ4141240272,intermittent,ma_5,否,15,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141240273,seasonal,median_5,否,26,1.25,0.0,100.0,3.0,0.0,100.0
CJ4141240278,intermittent,ma_3,否,13,0.8333,0.2778,66.67,2.0,0.67,66.67
CJ4141240279,intermittent,winsorized,是,21,0.4,0.0375,90.62,2.0,0.19,90.62
CJ4141240282,sparse,interval_based,否,26,1.7241,0.1628,90.56,5.0,0.47,90.56
CJ4141240289,intermittent,median_5,否,25,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141240293,intermittent,median_5,否,13,2.5806,1.2903,50.0,8.0,4.0,50.0
CJ4141260079,intermittent,theta,是,24,0.4,0.0803,79.92,20.0,4.02,79.92
CJ4141260084,intermittent,median_5,否,13,0.6061,0.0,100.0,20.0,0.0,100.0
CJ4141260098,intermittent,adida,是,13,0.5455,0.2255,58.66,12.0,4.96,58.66
CJ4141360735,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141410133,lumpy,ma_5,否,23,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141410136,intermittent,median_5,否,24,0.4524,0.0,100.0,39.0,0.0,100.0
CJ4141410137,intermittent,median_5,否,24,0.5556,0.393,29.27,41.0,29.0,29.27
CJ4141410172,intermittent,tsb_opt,否,25,0.0848,0.0129,84.77,22.0,3.35,84.77
CJ4141410173,intermittent,winsorized,是,25,0.3538,0.0197,94.44,90.0,5.0,94.44
CJ4141410210,seasonal,seasonal_naive,否,18,0.7071,0.202,71.43,70.0,20.0,71.43
CJ4141410211,seasonal,theta,是,16,0.2899,0.0687,76.29,20.0,4.74,76.29
CJ4141640173,intermittent,interval_based,否,13,0.4082,0.1952,52.17,30.0,14.35,52.17
CJ4141670290,intermittent,median_5,否,17,0.3401,0.0,100.0,10.0,0.0,100.0
CJ4141670383,trending,ma_3,否,20,0.3904,0.194,50.29,399.0,198.33,50.29
CJ4141670399,seasonal,optimized_des,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141670447,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141670498,lumpy,adida,是,15,0.8537,0.0855,89.98,230.0,23.04,89.98
CJ4141670499,lumpy,weighted_ma_5,是,15,0.669,0.0235,96.49,380.0,13.33,96.49
CJ4141670606,seasonal,holt_winters,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141670665,stable,optimized_des,否,13,0.6,0.1128,81.19,6.0,1.13,81.19
CJ4141670668,lumpy,naive_drift,是,13,0.412,0.0712,82.73,110.0,19.0,82.73
CJ4141670717,stable,optimized_ses,否,17,0.5361,0.0767,85.68,300.0,42.95,85.68
CJ4141670719,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141670727,intermittent,croston,是,13,1.1111,0.4715,57.56,40.0,16.98,57.56
CJ4141670763,lumpy,median_5,否,18,1.9444,0.0,100.0,7.0,0.0,100.0
CJ4141670784,lumpy,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141670785,intermittent,ma_3,否,26,0.3597,0.1199,66.67,10.0,3.33,66.67
CJ4141670796,intermittent,interval_based,否,16,0.9524,0.0816,91.43,2.0,0.17,91.43
CJ4141670805,stable,ma_7,否,26,0.9353,0.0037,99.61,217.0,0.86,99.61
CJ4141670828,stable,ma_5,否,13,0.0383,0.0383,0.0,9.0,9.0,0.0
CJ4141670833,sparse,weighted_ma_5,是,23,0.2439,0.0,100.0,10.0,0.0,100.0
CJ4141670837,intermittent,adida,是,18,1.5096,0.2188,85.5,149.0,21.6,85.5
CJ4141670850,intermittent,median_5,否,13,0.3077,0.2051,33.33,12.0,8.0,33.33
CJ4141670852,intermittent,optimized_ses,否,13,0.3488,0.0245,92.97,60.0,4.22,92.97
CJ4141670853,intermittent,adida,是,13,0.3365,0.044,86.92,120.0,15.7,86.92
CJ4141670864,intermittent,interval_based,否,13,1.2295,0.9098,26.0,45.0,33.3,26.0
CJ4141670865,intermittent,tsb_opt,否,13,0.25,0.0559,77.62,1.0,0.22,77.62
CJ4141670866,intermittent,naive_drift,是,26,0.6019,0.0,100.0,13.0,0.0,100.0
CJ4141670873,seasonal,optimized_ses,否,18,2.2222,0.185,91.68,12.0,1.0,91.68
CJ4141670879,intermittent,theta,是,19,0.7143,0.1157,83.8,3.0,0.49,83.8
CJ4141670881,stable,damped_trend,是,13,1.2066,0.6618,45.15,160.0,87.76,45.15
CJ4141670883,seasonal,optimized_ses,否,14,0.2703,0.0283,89.54,10.0,1.05,89.54
CJ4141670892,intermittent,optimized_ses,否,16,0.1818,0.0097,94.65,1.0,0.05,94.65
CJ4141670916,intermittent,theta,是,26,0.2381,0.1488,37.5,10.0,6.25,37.5
CJ4141670917,intermittent,median_5,否,13,0.3518,0.1508,57.14,7.0,3.0,57.14
CJ4141670918,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141670930,seasonal,theta,是,13,0.4,0.0,100.0,2.0,0.0,100.0
CJ4141670931,trending,optimized_des,否,20,0.8639,0.1764,79.58,990.0,202.14,79.58
CJ4141670932,intermittent,median_5,否,13,0.8333,0.0,100.0,3.0,0.0,100.0
CJ4141670934,intermittent,adida,是,18,2.6199,0.1458,94.44,142.0,7.9,94.44
CJ4141670941,seasonal,holt_winters,否,18,0.3155,0.1816,42.45,46.0,26.47,42.45
CJ4141670944,intermittent,sba,否,16,0.2193,0.0317,85.53,10.0,1.45,85.53
CJ4141670946,seasonal,ma_3,否,26,0.1619,0.1079,33.33,60.0,40.0,33.33
CJ4141670952,intermittent,median_5,否,22,1.1111,0.0,100.0,6.0,0.0,100.0
CJ4141670958,intermittent,median_5,否,26,0.5128,0.0,100.0,2.0,0.0,100.0
CJ4141670962,intermittent,median_5,否,13,0.4839,0.0,100.0,6.0,0.0,100.0
CJ4141670965,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141670988,trending,optimized_des,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141670989,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141671001,intermittent,median_5,否,13,1.773,0.0,100.0,50.0,0.0,100.0
CJ4141671002,trending,optimized_des,否,13,0.1961,0.0346,82.36,1.0,0.18,82.36
CJ4141671012,seasonal,optimized_hw,是,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141671013,intermittent,median_5,否,16,0.2,0.0,100.0,1.0,0.0,100.0
CJ4141671014,intermittent,weighted_ma_5,是,13,0.3931,0.0,100.0,100.0,0.0,100.0
CJ4141671021,intermittent,interval_based,否,14,0.3425,0.0228,93.33,10.0,0.67,93.33
CJ4141671022,intermittent,optimized_ses,否,14,0.3356,0.0425,87.33,10.0,1.27,87.33
CJ4141671025,intermittent,adida,是,13,0.6742,0.141,79.08,30.0,6.27,79.08
CJ4141671047,sparse,interval_based,否,13,2.6738,0.6671,75.05,100.0,24.95,75.05
CJ4141671049,sparse,interval_based,否,13,5.5556,4.3704,21.33,10.0,7.87,21.33
CJ4141671056,intermittent,median_5,否,25,0.3704,0.0,100.0,2.0,0.0,100.0
CJ4141671072,intermittent,naive_drift,是,16,2.5,0.0,100.0,9.0,0.0,100.0
CJ4141760055,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141760096,stable,seasonal_naive,否,14,1.25,0.0,100.0,200.0,0.0,100.0
CJ4141760097,seasonal,ma_5,否,14,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141760098,seasonal,optimized_hw,是,17,0.8824,0.0394,95.54,3.0,0.13,95.54
CJ4141760101,intermittent,interval_based,否,22,0.5556,0.1882,66.12,40.0,13.55,66.12
CJ4141760135,intermittent,interval_based,否,13,1.9557,0.0978,95.0,600.0,29.99,95.0
CJ4141760136,intermittent,interval_based,否,13,1.3889,0.1263,90.9,5.0,0.45,90.9
CJ4141820036,seasonal,ma_3,否,14,0.542,0.0369,93.2,49.0,3.33,93.2
CJ4141820055,intermittent,median_5,否,14,0.4046,0.289,28.57,7.0,5.0,28.57
CJ4142110047,intermittent,optimized_ses,否,13,0.2381,0.0566,76.22,4.0,0.95,76.22
CJ4142110054,intermittent,naive_drift,是,18,1.9091,0.1818,90.48,42.0,4.0,90.48
CJ4142430082,seasonal,median_5,否,13,0.2941,0.0267,90.91,11.0,1.0,90.91
CJ4142430104,intermittent,tsb_opt,否,13,0.3338,0.0321,90.38,25.0,2.4,90.38
CJ4142430113,stable,interval_based,否,22,0.0129,0.0011,91.18,2.0,0.18,91.18
CJ4142430127,seasonal,theta,是,19,0.0,0.0,0.0,0.0,0.0,0.0
CJ4142430154,lumpy,ma_5,否,13,0.1002,0.1002,0.0,6.0,6.0,0.0
CJ4142430200,intermittent,naive_drift,是,13,2.0,0.8667,56.67,30.0,13.0,56.67
CJ4142430230,seasonal,ma_5,否,13,0.536,0.536,0.0,29.0,29.0,0.0
CJ4142430239,intermittent,croston,是,13,1.3755,0.0591,95.7,37.0,1.59,95.7
CJ4142470022,trending,naive_drift,是,19,0.0,0.0,0.0,0.0,0.0,0.0
CJ4142470023,intermittent,ma_5,否,16,0.1768,0.1768,0.0,14.0,14.0,0.0
CJ4142470039,seasonal,theta,是,13,0.916,0.0283,96.91,24.0,0.74,96.91
CJ5010060070,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ5050000719,intermittent,theta,是,18,0.1784,0.0026,98.52,18.0,0.27,98.52
CJ5050000735,intermittent,croston,是,13,0.7955,0.1255,84.23,35.0,5.52,84.23
CJ5050000765,intermittent,ma_5,否,18,0.0131,0.0131,0.0,1.0,1.0,0.0
CJ5050000784,intermittent,ma_3,否,26,0.7725,0.0858,88.89,54.0,6.0,88.89
CJ5050000794,seasonal,ma_5,否,18,0.0704,0.0704,0.0,2.0,2.0,0.0
CJ5050000802,trending,optimized_hw,是,13,0.8696,0.5527,36.44,12.0,7.63,36.44
CJ5050000869,sparse,median_5,否,13,0.2128,0.0,100.0,1.0,0.0,100.0
CJ5050000871,seasonal,weighted_ma_5,是,13,0.1818,0.0606,66.67,1.0,0.33,66.67
CJ5050000881,trending,naive_drift,是,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ5050000889,seasonal,theta,是,13,0.6912,0.0933,86.51,15.0,2.02,86.51
CJ5050000897,intermittent,median_5,否,26,0.7055,0.5828,17.39,23.0,19.0,17.39
CJ5050000919,intermittent,croston,是,13,1.25,0.0466,96.27,11.0,0.41,96.27
CJ5050000999,seasonal,median_5,否,26,0.0938,0.0104,88.89,9.0,1.0,88.89
CJ5050001005,lumpy,median_5,否,16,0.2542,0.0,100.0,6.0,0.0,100.0
CJ5050001013,seasonal,ma_3,否,14,1.25,0.3571,71.43,7.0,2.0,71.43
CJ5050001018,seasonal,seasonal_naive,否,13,7.6596,2.234,70.83,72.0,21.0,70.83
CJ5050001043,erratic,adida,是,21,0.2787,0.1387,50.25,8.0,3.98,50.25
CJ5050001055,stable,seasonal_naive,否,13,0.8766,0.3247,62.96,27.0,10.0,62.96
CJ5050001071,erratic,theta,是,13,1.1935,0.394,66.99,206.0,68.0,66.99
CJ5050001091,seasonal,holt_winters,否,14,0.0,0.0,0.0,0.0,0.0,0.0
CJ5050001112,lumpy,ma_5,否,13,0.1712,0.1712,0.0,5.0,5.0,0.0
CJ5050001123,seasonal,ma_3,否,14,0.7729,0.0081,98.96,32.0,0.33,98.96
CJ5050001156,sparse,ma_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ5050001157,seasonal,optimized_ses,否,26,0.1106,0.0002,99.8,15.0,0.03,99.8
CJ5050001158,intermittent,ma_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ5050001159,sparse,ma_3,否,13,0.1,0.0333,66.67,5.0,1.67,66.67
CJ5050001171,lumpy,theta,是,18,0.4202,0.148,64.76,20.0,7.05,64.76
CJ5050001191,intermittent,winsorized,是,13,9.2157,7.3407,20.35,47.0,37.44,20.35
CJ5050001237,seasonal,median_5,否,26,0.1897,0.087,54.17,24.0,11.0,54.17
CJ5050001263,intermittent,interval_based,否,13,1.5854,0.2439,84.62,13.0,2.0,84.62
CJ5050001266,trending,seasonal_naive,否,13,8.1481,2.2222,72.73,22.0,6.0,72.73
CJ5050001352,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ5050001429,seasonal,holt_winters,否,13,1.2565,0.2497,80.13,24.0,4.77,80.13
CJ5050120413,lumpy,median_5,否,13,2.5,0.625,75.0,12.0,3.0,75.0
CJ5050120525,trending,ma_3,否,13,3.2143,1.1905,62.96,9.0,3.33,62.96
CJ5050120552,lumpy,adida,是,13,1.5981,0.0057,99.64,132.0,0.47,99.64
CJ5050240118,intermittent,weighted_ma_5,是,13,0.431,0.0862,80.0,5.0,1.0,80.0
CJ5050240119,intermittent,winsorized,是,22,0.9615,0.4087,57.5,5.0,2.12,57.5
CJ5050240126,intermittent,median_5,否,18,1.0714,0.0,100.0,3.0,0.0,100.0
CJ5050270140,intermittent,adida,是,14,0.7143,0.2143,70.0,2.0,0.6,70.0
CJ6060010115,intermittent,weighted_ma_5,是,26,0.1237,0.0383,69.05,2800.0,866.67,69.05
CJ6060020037,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ6060030155,seasonal,optimized_ses,否,13,0.2222,0.0353,84.09,100.0,15.91,84.09
CJ6060060164,intermittent,winsorized,是,22,0.1825,0.0342,81.25,50.0,9.38,81.25
CJ6060060674,seasonal,theta,是,14,0.1048,0.0597,43.03,10.0,5.7,43.03
CJ6060060675,intermittent,ma_3,否,26,0.1825,0.0912,50.0,20.0,10.0,50.0
CJ6060060676,intermittent,ma_3,否,25,0.1996,0.0998,50.0,20.0,10.0,50.0
CJ6060060677,intermittent,ma_3,否,22,0.3628,0.0473,86.96,23.0,3.0,86.96
CJ6060060678,intermittent,ma_3,否,13,0.2812,0.0228,91.89,37.0,3.0,91.89
CJ6060060679,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ6060060680,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ6060080689,intermittent,adida,是,25,0.5455,0.0795,85.42,150.0,21.88,85.42
CJ6060080880,intermittent,sba,否,22,0.7409,0.4346,41.34,800.0,469.25,41.34
CJ6060080935,intermittent,sba,否,25,0.8642,0.1871,78.35,700.0,151.53,78.35
CJ6060080976,seasonal,ma_3,否,16,0.1537,0.0299,80.56,2400.0,466.67,80.56
CJ6060080977,stable,damped_trend,是,13,0.463,0.0877,81.05,400.0,75.8,81.05
CJ6060080982,seasonal,optimized_des,否,13,0.8434,0.1711,79.72,350.0,70.99,79.72
CJ6060081006,intermittent,sba,否,13,0.4778,0.2831,40.75,550.0,325.89,40.75
CJ6060081009,intermittent,adida,是,13,0.3067,0.009,97.06,100.0,2.94,97.06
CJ6060081497,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ6060081498,seasonal,optimized_des,否,25,0.7143,0.0,100.0,2.0,0.0,100.0
CJ6060081675,trending,seasonal_naive,否,26,0.3073,0.0946,69.23,13.0,4.0,69.23
CJ6060081682,seasonal,median_5,否,20,0.2076,0.1038,50.0,6.0,3.0,50.0
CJ6060081683,erratic,adida,是,22,0.3883,0.0316,91.88,16.0,1.3,91.88
CJ6060081704,stable,ma_3,否,26,0.1099,0.0916,16.67,2.0,1.67,16.67
CJ6060081707,seasonal,optimized_hw,是,25,0.303,0.0528,82.57,7.0,1.22,82.57
CJ6060081758,intermittent,naive_drift,是,13,0.8333,0.0833,90.0,60.0,6.0,90.0
CJ6060081771,intermittent,ma_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ6060081789,intermittent,median_5,否,21,0.0,0.0,0.0,0.0,0.0,0.0
CJ6060081881,seasonal,median_5,否,13,0.2174,0.2174,0.0,1.0,1.0,0.0
CJ6060081955,stable,interval_based,否,13,0.3295,0.3229,2.0,20.0,19.6,2.0
CJ6060081961,stable,interval_based,否,13,0.3373,0.3305,2.0,20.0,19.6,2.0
CJ6060081972,seasonal,seasonal_naive,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ6060082032,stable,ma_3,否,25,1.1039,0.0,100.0,17.0,0.0,100.0
CJ6060082040,intermittent,ma_3,否,14,0.2985,0.0,100.0,20.0,0.0,100.0
CJ6060082042,stable,interval_based,否,25,0.3191,0.1335,58.17,12.0,5.02,58.17
CJ6060082043,intermittent,tsb_opt,否,20,0.2611,0.1893,27.5,170.0,123.24,27.5
CJ6060082044,intermittent,tsb_opt,否,20,0.2477,0.1857,25.03,160.0,119.96,25.03
CJ6060082054,lumpy,median_5,否,25,0.4211,0.1053,75.0,8.0,2.0,75.0
CJ6060082055,seasonal,theta,是,16,0.5405,0.4459,17.51,4.0,3.3,17.51
CJ6060082056,intermittent,ma_5,否,14,0.0,0.0,0.0,0.0,0.0,0.0
CJ6060082061,erratic,median_5,否,20,0.4712,0.2094,55.56,9.0,4.0,55.56
CJ6060082062,erratic,adida,是,16,1.1932,0.1932,83.81,21.0,3.4,83.81
CJ6060082063,intermittent,croston,是,13,0.6,0.2213,63.11,3.0,1.11,63.11
CJ6060082075,erratic,naive_drift,是,25,0.6087,0.2232,63.33,21.0,7.7,63.33
CJ6060100020,intermittent,median_5,否,25,0.2838,0.0,100.0,130.0,0.0,100.0
CJ6060230004,intermittent,sba,否,13,0.7692,0.1393,81.89,1500.0,271.64,81.89
CJ6060230006,lumpy,interval_based,否,23,0.7805,0.0675,91.35,3200.0,276.92,91.35
CJ6060230009,seasonal,optimized_hw,是,18,0.4191,0.3151,24.81,8000.0,6014.99,24.81
CJ6060240002,sparse,median_5,否,15,0.2273,0.0,100.0,100.0,0.0,100.0
CJ6060240040,intermittent,median_5,否,13,0.5357,0.1786,66.67,600.0,200.0,66.67
CJ6060260168,lumpy,croston,是,26,0.0891,0.0512,42.46,7.0,4.03,42.46
CJ6060260176,intermittent,tsb_opt,否,19,0.2913,0.0212,92.73,30.0,2.18,92.73
CJ6060260183,seasonal,ma_3,否,17,0.8352,0.1856,77.78,300.0,66.67,77.78
CJ6060260206,intermittent,weighted_ma_5,是,13,2.2353,1.3725,38.6,19.0,11.67,38.6
CJ6060260312,stable,holt_winters,否,17,0.3638,0.1503,58.69,2000.0,826.2,58.69
CJ6060280006,intermittent,ma_3,否,24,0.3067,0.2045,33.33,200.0,133.33,33.33
CJ6060390028,sparse,ma_5,否,23,0.0,0.0,0.0,0.0,0.0,0.0
CJ6060390055,trending,optimized_hw,是,13,0.6716,0.1995,70.3,45.0,13.36,70.3
CJ7070050070,seasonal,optimized_hw,是,16,0.7725,0.0198,97.44,275.0,7.04,97.44
CJ7070380003,intermittent,ma_3,否,22,0.8511,0.4255,50.0,40.0,20.0,50.0
CJ7070480391,stable,optimized_ses,否,18,0.2839,0.1985,30.07,18.0,12.59,30.07
CJ7070480392,stable,ma_5,否,18,0.2691,0.2691,0.0,18.0,18.0,0.0
CJ7070480397,seasonal,theta,是,13,0.5556,0.0421,92.42,150.0,11.38,92.42
CJ7070480398,seasonal,theta,是,13,0.5556,0.0421,92.42,150.0,11.38,92.42
CJ7070480399,intermittent,weighted_ma_5,是,16,0.3846,0.1282,66.67,100.0,33.33,66.67
CJ7070480400,seasonal,theta,是,16,0.2174,0.0304,86.0,50.0,7.0,86.0
CJ7070480402,intermittent,ma_5,否,17,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070480403,intermittent,adida,是,16,0.2083,0.026,87.5,50.0,6.25,87.5
CJ7070480404,intermittent,sba,否,16,1.3889,0.0635,95.43,250.0,11.43,95.43
CJ7070480405,intermittent,winsorized,是,17,0.3086,0.0772,75.0,50.0,12.5,75.0
CJ7070480409,intermittent,winsorized,是,16,1.3889,0.0,100.0,250.0,0.0,100.0
CJ7070540079,sparse,median_5,否,13,0.4167,0.0,100.0,2.0,0.0,100.0
CJ7070540101,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070540108,trending,weighted_ma_5,是,13,0.5556,0.0,100.0,1.0,0.0,100.0
CJ7070540109,trending,weighted_ma_5,是,13,0.5556,0.0,100.0,1.0,0.0,100.0
CJ7070540114,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070540115,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070540186,intermittent,sba,否,25,0.2126,0.0005,99.76,90.0,0.22,99.76
CJ7070540187,intermittent,adida,是,16,2.9114,0.033,98.87,460.0,5.21,98.87
CJ7070540188,intermittent,adida,是,16,2.9114,0.033,98.87,460.0,5.21,98.87
CJ7070540189,stable,seasonal_naive,否,19,2.0193,1.0741,46.81,376.0,200.0,46.81
CJ7070540200,intermittent,median_5,否,26,0.3125,0.0,100.0,4.0,0.0,100.0
CJ7070540201,intermittent,median_5,否,26,0.3125,0.0,100.0,4.0,0.0,100.0
CJ7070540233,seasonal,optimized_hw,是,13,0.5,0.1153,76.93,1.0,0.23,76.93
CJ7070540234,seasonal,optimized_hw,是,13,0.5,0.1153,76.93,1.0,0.23,76.93
CJ7070540235,stable,seasonal_naive,否,26,0.5737,0.3069,46.5,200.0,107.0,46.5
CJ7070540236,stable,seasonal_naive,否,26,0.5839,0.3062,47.55,204.0,107.0,47.55
CJ7070540237,stable,seasonal_naive,否,26,0.5447,0.1552,71.5,200.0,57.0,71.5
CJ7070540245,intermittent,ma_3,否,13,0.045,0.015,66.67,20.0,6.67,66.67
CJ7070540253,intermittent,interval_based,否,25,1.0526,0.0859,91.84,4.0,0.33,91.84
CJ7070540254,intermittent,interval_based,否,25,1.0526,0.0859,91.84,4.0,0.33,91.84
CJ7070540257,stable,seasonal_naive,否,16,0.0893,0.0,100.0,1.0,0.0,100.0
CJ7070540271,intermittent,optimized_ses,否,25,2.0408,0.0519,97.46,10.0,0.25,97.46
CJ7070540272,intermittent,optimized_ses,否,25,2.0408,0.0519,97.46,10.0,0.25,97.46
CJ7070540280,intermittent,winsorized,是,13,0.3333,0.0254,92.39,46.0,3.5,92.39
CJ7070540283,seasonal,seasonal_naive,否,14,0.7937,0.1587,80.0,10.0,2.0,80.0
CJ7070540284,intermittent,optimized_ses,否,16,0.6897,0.0617,91.06,2.0,0.18,91.06
CJ7070540293,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070540304,erratic,naive_drift,是,13,4.375,0.3125,92.86,28.0,2.0,92.86
CJ7070540305,erratic,naive_drift,是,13,4.375,0.3125,92.86,28.0,2.0,92.86
CJ7070540309,intermittent,median_5,否,13,1.25,0.0,100.0,2.0,0.0,100.0
CJ7070540310,intermittent,median_5,否,13,1.25,0.0,100.0,2.0,0.0,100.0
CJ7070540311,lumpy,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070540340,erratic,sba,否,13,1.117,0.6194,44.55,42.0,23.29,44.55
CJ7070540341,erratic,adida,是,13,1.2651,0.6506,48.57,42.0,21.6,48.57
CJ7070540349,stable,naive_drift,是,13,1.7522,0.1114,93.64,140.0,8.9,93.64
CJ7070540350,stable,naive_drift,是,13,1.6222,0.1031,93.64,140.0,8.9,93.64
CJ7070540351,stable,naive_drift,是,13,1.8018,0.1145,93.64,140.0,8.9,93.64
CJ7070540354,seasonal,seasonal_naive,否,13,1.4323,0.3255,77.27,110.0,25.0,77.27
CJ7070540357,erratic,median_5,否,13,1.75,0.3125,82.14,56.0,10.0,82.14
CJ7070540358,erratic,median_5,否,13,1.75,0.3125,82.14,56.0,10.0,82.14
CJ7070540360,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070540361,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070540362,intermittent,theta,是,26,0.1299,0.0606,53.3,1.0,0.47,53.3
CJ7070540363,intermittent,theta,是,26,0.1299,0.0606,53.3,1.0,0.47,53.3
CJ7070540372,intermittent,optimized_ses,否,26,0.4762,0.0602,87.36,3.0,0.38,87.36
CJ7070540373,intermittent,croston,是,26,0.6349,0.0196,96.91,4.0,0.12,96.91
CJ7070540374,intermittent,median_5,否,26,0.1587,0.0,100.0,1.0,0.0,100.0
CJ7070540391,seasonal,optimized_hw,是,26,0.2564,0.1677,34.59,1.0,0.65,34.59
CJ7070540392,seasonal,optimized_hw,是,26,0.2564,0.1677,34.59,1.0,0.65,34.59
CJ7070540393,seasonal,ma_5,否,17,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070540394,seasonal,ma_5,否,17,0.0,0.0,0.0,0.0,0.0,0.0
CJ7070540433,intermittent,median_5,否,26,0.8571,0.0,100.0,3.0,0.0,100.0
CJ7070540442,intermittent,winsorized,是,21,0.4929,0.0304,93.84,73.0,4.5,93.84
CJ7070540443,intermittent,winsorized,是,21,0.4929,0.0304,93.84,73.0,4.5,93.84
CJ7070540466,stable,theta,是,14,1.0345,0.222,78.54,300.0,64.39,78.54
CJ7070540467,stable,theta,是,14,1.046,0.2371,77.33,300.0,68.0,77.33
CJ7070540468,stable,naive_drift,是,13,1.6617,0.8493,48.89,900.0,460.0,48.89
CJ7070540469,lumpy,weighted_ma_5,是,13,0.3333,0.0,100.0,1.0,0.0,100.0
CJ7070540472,lumpy,weighted_ma_5,是,13,0.3333,0.0,100.0,1.0,0.0,100.0
CJ7070540496,stable,theta,是,14,3.1271,1.914,38.79,91.0,55.7,38.79
CJ7070540503,seasonal,seasonal_naive,否,13,2.8182,0.0,100.0,31.0,0.0,100.0
CJ7070540504,seasonal,seasonal_naive,否,13,2.8182,0.0,100.0,31.0,0.0,100.0
CJ7070540534,erratic,theta,是,13,0.7879,0.0607,92.3,52.0,4.0,92.3
CJ7070540563,lumpy,median_5,否,13,0.6716,0.0,100.0,9.0,0.0,100.0
CJ7070540572,seasonal,median_5,否,22,0.5882,0.2941,50.0,2.0,1.0,50.0
CJ7070540575,erratic,ma_3,否,13,5.3968,4.6561,13.73,34.0,29.33,13.73
CJ7070540576,erratic,ma_3,否,13,5.3968,4.6561,13.73,34.0,29.33,13.73
CJ7070540622,seasonal,damped_trend,是,13,0.7396,0.2304,68.85,50.0,15.57,68.85
CJ7070540623,seasonal,damped_trend,是,13,0.7396,0.0661,91.06,50.0,4.47,91.06
CJ7070540624,seasonal,optimized_ses,否,13,0.1736,0.0987,43.18,20.0,11.36,43.18
CJ8080021308,seasonal,theta,是,18,0.0,0.0,0.0,0.0,0.0,0.0
CJ8080430619,lumpy,median_5,否,13,0.4296,0.0,100.0,61.0,0.0,100.0
CJ9090050033,lumpy,theta,是,13,0.25,0.0924,63.04,1.0,0.37,63.04
