通用码,数据模式,最优方法,是否V6新增方法,最优区间(周),移动平均MASE,智能方法MASE,MASE提升(%),移动平均总量误差,智能方法总量误差,总量误差提升(%)
CJ1040341149,intermittent,ma_3,否,17,0.2174,0.0725,66.67,1.0,0.33,66.67
CJ1040341171,stable,seasonal_naive,否,13,0.6186,0.3093,50.0,6.0,3.0,50.0
CJ1040341181,intermittent,weighted_ma_5,是,25,0.1887,0.1258,33.33,1.0,0.67,33.33
CJ1040341183,intermittent,naive_drift,是,24,0.8621,0.1034,88.0,5.0,0.6,88.0
CJ1040341185,intermittent,adida,是,24,0.5,0.151,69.79,2.0,0.6,69.79
CJ1040341192,intermittent,croston,是,17,0.8621,0.0268,96.89,5.0,0.16,96.89
CJ1040341197,intermittent,croston,是,17,0.8511,0.0577,93.22,4.0,0.27,93.22
CJ1040341198,seasonal,seasonal_naive,否,16,1.8182,1.2121,33.33,6.0,4.0,33.33
CJ1040341208,intermittent,winsorized,是,20,0.6,0.025,95.83,3.0,0.12,95.83
CJ1040341215,trending,theta,是,13,2.3077,1.4708,36.27,9.0,5.74,36.27
CJ1040341218,intermittent,adida,是,23,0.7143,0.0047,99.35,3.0,0.02,99.35
CJ1040341223,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341230,seasonal,ma_3,否,15,0.5405,0.0901,83.33,2.0,0.33,83.33
CJ1040341234,seasonal,theta,是,14,0.8571,0.3336,61.08,3.0,1.17,61.08
CJ1040341243,trending,naive_drift,是,23,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341246,intermittent,croston,是,13,0.8824,0.163,81.52,3.0,0.55,81.52
CJ1040341247,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341251,lumpy,weighted_ma_5,是,13,0.1613,0.0,100.0,2.0,0.0,100.0
CJ1040341254,intermittent,croston,是,16,0.4545,0.0104,97.72,1.0,0.02,97.72
CJ1040341258,trending,theta,是,13,0.9434,0.4514,52.15,5.0,2.39,52.15
CJ1040341262,stable,ma_3,否,13,0.1794,0.0448,75.0,4.0,1.0,75.0
CJ1040341263,seasonal,seasonal_naive,否,13,2.3881,1.6418,31.25,16.0,11.0,31.25
CJ1040341270,intermittent,interval_based,否,22,1.1111,0.1725,84.47,7.0,1.09,84.47
CJ1040341287,intermittent,croston,是,13,1.0526,0.0614,94.17,2.0,0.12,94.17
CJ1040341291,stable,optimized_des,否,26,0.9774,0.538,44.96,13.0,7.16,44.96
CJ1040341292,intermittent,adida,是,13,1.25,0.026,97.92,2.0,0.04,97.92
CJ1040341295,seasonal,theta,是,17,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341299,seasonal,damped_trend,是,26,0.6349,0.226,64.41,8.0,2.85,64.41
CJ1040341307,intermittent,croston,是,13,2.3913,0.3185,86.68,11.0,1.46,86.68
CJ1040341325,intermittent,croston,是,13,2.4242,0.0442,98.18,8.0,0.15,98.18
CJ1040341332,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341380,seasonal,ma_3,否,15,1.4286,0.1587,88.89,3.0,0.33,88.89
CJ1040341397,stable,optimized_hw,是,14,0.315,0.112,64.44,4.0,1.42,64.44
CJ1040341398,stable,ma_5,否,15,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341399,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341404,seasonal,optimized_ses,否,19,0.5263,0.1095,79.19,4.0,0.83,79.19
