通用码,数据模式,V6方法,V6.1方法,V6_MASE,V6.1_MASE,V6总量误差,V6.1总量误差,优胜者
CJ4141240266,trending,optimized_ses,optimized_ses,0.4315,0.4315,1.21,1.21,V6.1
CJ4141240268,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141240271,seasonal,weighted_ma_5,weighted_ma_5,0.2008,0.2008,3.33,3.33,V6
CJ4141240272,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141240273,seasonal,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141240278,intermittent,ma_3,ma_3,0.2778,0.2778,0.67,0.67,V6.1
CJ4141240279,intermittent,winsorized,winsorized,0.0375,0.0375,0.19,0.19,V6
CJ4141240282,sparse,interval_based,interval_based,0.1628,0.1628,0.47,0.47,V6
CJ4141240289,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141240293,intermittent,median_5,median_5,1.2903,1.2903,4.0,4.0,V6
CJ4141260073,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141260079,intermittent,theta,theta,0.0803,0.0803,4.02,4.02,V6
CJ4141260084,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141260098,intermittent,adida,adida,0.2255,0.2255,4.96,4.96,V6.1
CJ4141360735,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141410133,lumpy,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141410136,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141410137,intermittent,median_5,median_5,0.393,0.393,29.0,29.0,V6.1
CJ4141410172,intermittent,tsb_opt,tsb_opt,0.0129,0.0129,3.35,3.35,V6
CJ4141410173,intermittent,winsorized,winsorized,0.0197,0.0197,5.0,5.0,V6.1
CJ4141410210,seasonal,seasonal_naive,seasonal_naive,0.202,0.202,20.0,20.0,V6
CJ4141410211,seasonal,theta,theta,0.0687,0.0687,4.74,4.74,V6
CJ4141640173,intermittent,interval_based,interval_based,0.1952,0.1952,14.35,14.35,V6
CJ4141670290,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141670314,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141670383,trending,ma_3,ma_3,0.194,0.194,198.33,198.33,V6
CJ4141670399,seasonal,optimized_des,optimized_des,0.0,0.0,0.0,0.0,持平
CJ4141670447,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141670498,lumpy,adida,adida,0.0855,0.0855,23.04,23.04,V6
CJ4141670499,lumpy,weighted_ma_5,weighted_ma_5,0.0235,0.0235,13.33,13.33,V6.1
CJ4141670606,seasonal,holt_winters,holt_winters,0.0,0.0,0.0,0.0,持平
CJ4141670665,stable,optimized_des,optimized_des,0.1128,0.1128,1.13,1.13,V6
CJ4141670668,lumpy,naive_drift,naive_drift,0.0712,0.0712,19.0,19.0,V6.1
CJ4141670717,stable,optimized_ses,optimized_ses,0.0767,0.0767,42.95,42.95,V6
CJ4141670719,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141670727,intermittent,croston,croston,0.4715,0.4715,16.98,16.98,V6
CJ4141670733,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141670763,lumpy,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141670784,lumpy,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141670785,intermittent,ma_3,ma_3,0.1199,0.1199,3.33,3.33,V6
CJ4141670796,intermittent,interval_based,interval_based,0.0816,0.0816,0.17,0.17,V6
CJ4141670805,stable,ma_7,ma_7,0.0037,0.0037,0.86,0.86,V6.1
CJ4141670828,stable,ma_5,ma_5,0.0383,0.0383,9.0,9.0,V6
CJ4141670830,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141670833,sparse,weighted_ma_5,weighted_ma_5,0.0,0.0,0.0,0.0,持平
CJ4141670837,intermittent,adida,adida,0.2188,0.2188,21.6,21.6,V6
CJ4141670850,intermittent,median_5,median_5,0.2051,0.2051,8.0,8.0,V6
CJ4141670852,intermittent,optimized_ses,optimized_ses,0.0245,0.0245,4.22,4.22,V6
CJ4141670853,intermittent,adida,adida,0.044,0.044,15.7,15.7,V6
CJ4141670864,intermittent,interval_based,interval_based,0.9098,0.9098,33.3,33.3,V6
CJ4141670865,intermittent,tsb_opt,tsb_opt,0.0559,0.0559,0.22,0.22,V6
CJ4141670866,intermittent,naive_drift,naive_drift,0.0,0.0,0.0,0.0,持平
CJ4141670873,seasonal,optimized_ses,optimized_ses,0.185,0.185,1.0,1.0,V6.1
CJ4141670879,intermittent,theta,theta,0.1157,0.1157,0.49,0.49,V6.1
CJ4141670881,stable,damped_trend,damped_trend,0.6618,0.6618,87.76,87.76,V6
CJ4141670883,seasonal,optimized_ses,optimized_ses,0.0283,0.0283,1.05,1.05,V6.1
CJ4141670892,intermittent,optimized_ses,optimized_ses,0.0097,0.0097,0.05,0.05,V6
CJ4141670916,intermittent,theta,theta,0.1488,0.1488,6.25,6.25,V6
CJ4141670917,intermittent,median_5,median_5,0.1508,0.1508,3.0,3.0,V6.1
CJ4141670918,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141670930,seasonal,theta,theta,0.0,0.0,0.0,0.0,持平
CJ4141670931,trending,optimized_des,optimized_des,0.1764,0.1764,202.14,202.14,V6.1
CJ4141670932,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141670934,intermittent,adida,adida,0.1458,0.1458,7.9,7.9,V6.1
CJ4141670941,seasonal,holt_winters,holt_winters,0.1816,0.1816,26.47,26.47,V6.1
CJ4141670944,intermittent,sba,sba,0.0317,0.0317,1.45,1.45,V6
CJ4141670946,seasonal,ma_3,ma_3,0.1079,0.1079,40.0,40.0,V6
CJ4141670947,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141670952,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141670958,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141670962,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141670965,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141670988,trending,optimized_des,optimized_des,0.0,0.0,0.0,0.0,持平
CJ4141670989,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
