通用码,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
CJ1010005875,0,20,0,0,30,10,0,20,40,10,20,40,20,0,35,0,20,0,10,0,20,0,0,10,10,0,25,0,10,0,0,10,0,0,0,10,0,10,10,10,20,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0
CJ1010005942,0,20,0,0,20,10,0,20,10,0,0,10,20,10,20,0,10,0,0,10,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010006139,0,0,5,0,5,5,0,10,10,15,0,0,15,0,0,0,0,0,0,0,10,15,0,0,0,0,5,0,0,6,9,0,0,0,10,0,10,0,10,0,0,15,5,20,0,0,0,5,3,0,0,0,0,0,20,5
CJ1010006199,0,0,20,0,5,10,0,5,20,10,0,10,0,0,20,0,0,0,0,20,5,0,0,5,10,0,0,0,10,0,0,10,0,0,0,10,10,0,15,0,30,8,22,0,0,0,10,16,0,0,10,0,0,0,0,0
CJ1010006263,0,34,0,0,0,20,20,20,0,0,20,10,0,0,0,20,0,0,0,40,0,40,0,20,0,0,0,40,0,0,0,0,0,40,0,0,0,40,0,0,0,0,0,40,0,0,0,30,0,40,0,0,0,0,0,0
CJ1010006293,50,30,45,20,0,53,20,20,0,20,0,20,20,0,20,20,5,5,20,20,30,20,20,12,0,50,20,0,20,30,0,20,40,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,15,0,5,0,0,10,0
CJ1010006374,0,30,0,20,0,0,20,10,0,20,0,0,10,0,0,10,0,0,10,10,0,30,0,20,10,10,0,2,8,10,0,0,0,0,0,20,20,10,0,0,0,0,10,0,0,20,0,5,15,0,0,0,10,0,0,0
CJ1010006464,0,0,8,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,2,0,17,0,0
CJ1010006471,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0
CJ1010006502,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,20,20,0,0,0,20,0,0,0,20,20,0,20,10,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0
CJ1010006503,0,0,0,40,0,0,0,20,0,20,20,0,20,0,20,0,0,0,20,0,0,60,40,17,0,0,0,0,20,0,20,0,50,0,30,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010006593,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
